date,start_est,away_rest,away_team,home_team,home_rest,arena
17-Mar-20,7:00pm,1,Orlando Magic,Detroit Pistons,2,Little Caesars Arena
17-Mar-20,7:30pm,1,Charlotte Hornets,New York Knicks,3,Madison Square Garden
17-Mar-20,8:00pm,2,Cleveland Cavaliers,Houston Rockets,1,Toyota Center
17-Mar-20,8:00pm,1,Oklahoma City Thunder,Memphis Grizzlies,0,FedExForum
17-Mar-20,10:00pm,2,Minnesota Timberwolves,Portland Trail Blazers,1,Moda Center
17-Mar-20,10:00pm,0,Dallas Mavericks,Sacramento Kings,1,Golden 1 Center
18-Mar-20,7:00pm,1,Toronto Raptors,Philadelphia 76ers,1,Wells Fargo Center
18-Mar-20,7:30pm,0,Oklahoma City Thunder,Atlanta Hawks,1,State Farm Arena
18-Mar-20,7:30pm,0,New York Knicks,Boston Celtics,2,TD Garden
18-Mar-20,7:30pm,1,Washington Wizards,Brooklyn Nets,2,Barclays Center
18-Mar-20,7:30pm,1,Golden State Warriors,Indiana Pacers,3,Bankers Life Fieldhouse
18-Mar-20,8:00pm,1,Miami Heat,Chicago Bulls,2,United Center
18-Mar-20,8:00pm,1,San Antonio Spurs,New Orleans Pelicans,1,Smoothie King Center
18-Mar-20,9:00pm,1,Los Angeles Clippers,Denver Nuggets,2,Pepsi Center
18-Mar-20,10:00pm,1,Utah Jazz,Los Angeles Lakers,1,Staples Center
18-Mar-20,10:00pm,0,Minnesota Timberwolves,Phoenix Suns,3,Talking Stick Resort Arena
19-Mar-20,7:00pm,0,Philadelphia 76ers,Charlotte Hornets,1,Spectrum Center
19-Mar-20,7:00pm,1,Cleveland Cavaliers,Orlando Magic,1,Amway Center
19-Mar-20,8:00pm,1,Sacramento Kings,Houston Rockets,1,Toyota Center
19-Mar-20,8:00pm,1,Memphis Grizzlies,Milwaukee Bucks,2,Fiserv Forum
19-Mar-20,10:00pm,1,Dallas Mavericks,Portland Trail Blazers,1,Moda Center
20-Mar-20,7:00pm,1,Golden State Warriors,Detroit Pistons,2,Little Caesars Arena
20-Mar-20,7:00pm,1,Miami Heat,Indiana Pacers,1,Bankers Life Fieldhouse
20-Mar-20,7:30pm,1,Washington Wizards,Atlanta Hawks,1,State Farm Arena
20-Mar-20,7:30pm,1,Boston Celtics,Toronto Raptors,1,Scotiabank Arena
20-Mar-20,8:00pm,1,Denver Nuggets,Oklahoma City Thunder,1,Chesapeake Energy Arena
20-Mar-20,8:30pm,1,Chicago Bulls,San Antonio Spurs,1,AT&T Center
20-Mar-20,9:00pm,1,Minnesota Timberwolves,Utah Jazz,1,Vivint Smart Home Arena
20-Mar-20,10:30pm,1,Phoenix Suns,Los Angeles Clippers,1,Staples Center
21-Mar-20,6:00pm,0,Boston Celtics,Brooklyn Nets,2,Barclays Center
21-Mar-20,7:00pm,2,Los Angeles Lakers,Charlotte Hornets,1,Spectrum Center
21-Mar-20,7:00pm,1,Cleveland Cavaliers,Indiana Pacers,0,Bankers Life Fieldhouse
21-Mar-20,7:00pm,1,Sacramento Kings,Orlando Magic,1,Amway Center
21-Mar-20,7:00pm,0,Atlanta Hawks,Philadelphia 76ers,1,Wells Fargo Center
21-Mar-20,7:30pm,0,Golden State Warriors,New York Knicks,2,Madison Square Garden
21-Mar-20,8:00pm,0,Chicago Bulls,Houston Rockets,1,Toyota Center
21-Mar-20,8:00pm,2,New Orleans Pelicans,Memphis Grizzlies,1,FedExForum
21-Mar-20,8:00pm,1,Milwaukee Bucks,Washington Wizards,0,Capital One Arena
21-Mar-20,10:00pm,1,Dallas Mavericks,Phoenix Suns,0,Talking Stick Resort Arena
22-Mar-20,6:00pm,0,Los Angeles Lakers,Detroit Pistons,1,Little Caesars Arena
22-Mar-20,6:00pm,1,Denver Nuggets,Toronto Raptors,1,Scotiabank Arena
22-Mar-20,7:00pm,2,Portland Trail Blazers,Minnesota Timberwolves,1,Target Center
22-Mar-20,7:00pm,0,Sacramento Kings,New Orleans Pelicans,0,Smoothie King Center
22-Mar-20,7:00pm,1,Utah Jazz,San Antonio Spurs,1,AT&T Center
23-Mar-20,7:00pm,1,Phoenix Suns,Indiana Pacers,1,Bankers Life Fieldhouse
23-Mar-20,7:00pm,2,Los Angeles Clippers,New York Knicks,1,Madison Square Garden
23-Mar-20,7:00pm,1,Boston Celtics,Washington Wizards,1,Capital One Arena
23-Mar-20,7:30pm,1,Orlando Magic,Brooklyn Nets,1,Barclays Center
23-Mar-20,7:30pm,2,Oklahoma City Thunder,Miami Heat,2,American Airlines Arena
23-Mar-20,8:00pm,0,Denver Nuggets,Chicago Bulls,1,United Center
23-Mar-20,8:00pm,0,Detroit Pistons,Milwaukee Bucks,1,Fiserv Forum
23-Mar-20,8:30pm,1,Houston Rockets,Dallas Mavericks,1,American Airlines Center
24-Mar-20,7:00pm,1,Portland Trail Blazers,Charlotte Hornets,2,Spectrum Center
24-Mar-20,7:00pm,1,Sacramento Kings,Cleveland Cavaliers,2,Rocket Mortgage FieldHouse
24-Mar-20,7:30pm,1,Los Angeles Lakers,Toronto Raptors,1,Scotiabank Arena
24-Mar-20,8:00pm,2,Philadelphia 76ers,Minnesota Timberwolves,1,Target Center
24-Mar-20,8:00pm,2,Memphis Grizzlies,New Orleans Pelicans,1,Smoothie King Center
24-Mar-20,10:00pm,1,San Antonio Spurs,Utah Jazz,1,Vivint Smart Home Arena
25-Mar-20,7:00pm,1,Los Angeles Clippers,Brooklyn Nets,1,Barclays Center
25-Mar-20,7:00pm,0,Portland Trail Blazers,Detroit Pistons,1,Little Caesars Arena
25-Mar-20,7:00pm,1,Indiana Pacers,Orlando Magic,1,Amway Center
25-Mar-20,7:00pm,1,Phoenix Suns,Washington Wizards,1,Capital One Arena
25-Mar-20,7:30pm,1,Denver Nuggets,Miami Heat,1,American Airlines Arena
25-Mar-20,7:30pm,0,Toronto Raptors,New York Knicks,1,Madison Square Garden
25-Mar-20,8:00pm,1,Boston Celtics,Memphis Grizzlies,0,FedExForum
25-Mar-20,9:30pm,1,Houston Rockets,Milwaukee Bucks,1,Fiserv Forum
25-Mar-20,10:30pm,3,Atlanta Hawks,Golden State Warriors,3,Chase Center
26-Mar-20,7:00pm,1,Los Angeles Lakers,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
26-Mar-20,8:00pm,1,Philadelphia 76ers,Chicago Bulls,2,United Center
26-Mar-20,8:00pm,1,San Antonio Spurs,Minnesota Timberwolves,1,Target Center
26-Mar-20,8:00pm,1,Charlotte Hornets,Oklahoma City Thunder,2,Chesapeake Energy Arena
26-Mar-20,8:30pm,1,Utah Jazz,Dallas Mavericks,2,American Airlines Center
26-Mar-20,10:00pm,0,Atlanta Hawks,Sacramento Kings,1,Golden 1 Center
27-Mar-20,7:00pm,1,Los Angeles Clippers,Detroit Pistons,1,Little Caesars Arena
27-Mar-20,7:00pm,1,Houston Rockets,Indiana Pacers,1,Bankers Life Fieldhouse
27-Mar-20,7:00pm,1,Brooklyn Nets,Orlando Magic,1,Amway Center
27-Mar-20,7:00pm,1,Phoenix Suns,Philadelphia 76ers,0,Wells Fargo Center
27-Mar-20,7:30pm,1,Portland Trail Blazers,Boston Celtics,1,TD Garden
27-Mar-20,8:00pm,1,New York Knicks,New Orleans Pelicans,2,Smoothie King Center
27-Mar-20,8:30pm,1,Washington Wizards,Milwaukee Bucks,1,Fiserv Forum
27-Mar-20,9:00pm,0,San Antonio Spurs,Denver Nuggets,1,Pepsi Center
28-Mar-20,6:00pm,1,Cleveland Cavaliers,Brooklyn Nets,0,Barclays Center
28-Mar-20,7:00pm,0,Los Angeles Clippers,Charlotte Hornets,1,Spectrum Center
28-Mar-20,8:00pm,0,New York Knicks,Chicago Bulls,1,United Center
28-Mar-20,8:00pm,2,Toronto Raptors,Memphis Grizzlies,2,FedExForum
28-Mar-20,8:00pm,0,Phoenix Suns,Miami Heat,2,American Airlines Arena
28-Mar-20,8:00pm,1,Los Angeles Lakers,Washington Wizards,0,Capital One Arena
28-Mar-20,8:30pm,1,Oklahoma City Thunder,Golden State Warriors,2,Chase Center
28-Mar-20,9:00pm,1,Atlanta Hawks,Utah Jazz,1,Vivint Smart Home Arena
29-Mar-20,3:00pm,1,Milwaukee Bucks,Dallas Mavericks,2,American Airlines Center
29-Mar-20,5:00pm,1,Houston Rockets,Detroit Pistons,1,Little Caesars Arena
29-Mar-20,6:00pm,2,Minnesota Timberwolves,Boston Celtics,1,TD Garden
29-Mar-20,6:00pm,1,New Orleans Pelicans,Orlando Magic,1,Amway Center
29-Mar-20,7:30pm,1,Portland Trail Blazers,Philadelphia 76ers,1,Wells Fargo Center
29-Mar-20,8:30pm,1,San Antonio Spurs,Golden State Warriors,0,Chase Center
29-Mar-20,9:00pm,1,Indiana Pacers,Sacramento Kings,2,Golden 1 Center
30-Mar-20,7:00pm,1,Miami Heat,Charlotte Hornets,1,Spectrum Center
30-Mar-20,7:00pm,1,Phoenix Suns,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
30-Mar-20,7:30pm,0,Portland Trail Blazers,Brooklyn Nets,1,Barclays Center
30-Mar-20,7:30pm,1,Memphis Grizzlies,Toronto Raptors,1,Scotiabank Arena
30-Mar-20,8:00pm,1,Los Angeles Lakers,Minnesota Timberwolves,0,Target Center
30-Mar-20,9:00pm,1,Oklahoma City Thunder,Denver Nuggets,2,Pepsi Center
30-Mar-20,9:00pm,1,Chicago Bulls,Utah Jazz,1,Vivint Smart Home Arena
30-Mar-20,10:30pm,0,Indiana Pacers,Los Angeles Clippers,1,Staples Center
31-Mar-20,7:30pm,1,New Orleans Pelicans,Atlanta Hawks,2,State Farm Arena
31-Mar-20,7:30pm,1,Houston Rockets,Philadelphia 76ers,1,Wells Fargo Center
31-Mar-20,10:00pm,0,Denver Nuggets,Golden State Warriors,1,Chase Center
31-Mar-20,10:00pm,1,San Antonio Spurs,Sacramento Kings,1,Golden 1 Center
1-Apr-20,7:00pm,1,Charlotte Hornets,Orlando Magic,2,Amway Center
1-Apr-20,7:00pm,0,New Orleans Pelicans,Washington Wizards,3,Capital One Arena
1-Apr-20,7:30pm,1,Miami Heat,Boston Celtics,2,TD Garden
1-Apr-20,7:30pm,2,Detroit Pistons,Brooklyn Nets,1,Barclays Center
1-Apr-20,8:00pm,3,New York Knicks,Memphis Grizzlies,1,FedExForum
1-Apr-20,8:00pm,2,Dallas Mavericks,Minnesota Timberwolves,1,Target Center
1-Apr-20,8:00pm,1,Phoenix Suns,Oklahoma City Thunder,1,Chesapeake Energy Arena
1-Apr-20,9:00pm,1,Toronto Raptors,Milwaukee Bucks,2,Fiserv Forum
1-Apr-20,9:00pm,1,Cleveland Cavaliers,Utah Jazz,1,Vivint Smart Home Arena
1-Apr-20,10:30pm,1,Indiana Pacers,Los Angeles Lakers,1,Staples Center
2-Apr-20,8:00pm,1,Golden State Warriors,Houston Rockets,1,Toyota Center
2-Apr-20,10:00pm,2,Los Angeles Clippers,Sacramento Kings,1,Golden 1 Center
2-Apr-20,10:30pm,0,Utah Jazz,Portland Trail Blazers,2,Moda Center
3-Apr-20,7:00pm,1,Miami Heat,Detroit Pistons,1,Little Caesars Arena
3-Apr-20,7:00pm,1,Brooklyn Nets,Indiana Pacers,1,Bankers Life Fieldhouse
3-Apr-20,7:00pm,2,Philadelphia 76ers,Washington Wizards,1,Capital One Arena
3-Apr-20,7:30pm,1,Charlotte Hornets,Atlanta Hawks,2,State Farm Arena
3-Apr-20,7:30pm,1,Orlando Magic,Boston Celtics,1,TD Garden
3-Apr-20,7:30pm,1,Minnesota Timberwolves,New York Knicks,1,Madison Square Garden
3-Apr-20,7:30pm,1,Milwaukee Bucks,Toronto Raptors,1,Scotiabank Arena
3-Apr-20,8:00pm,1,Dallas Mavericks,Memphis Grizzlies,1,FedExForum
3-Apr-20,8:30pm,0,Golden State Warriors,San Antonio Spurs,2,AT&T Center
3-Apr-20,9:00pm,3,Chicago Bulls,Denver Nuggets,2,Pepsi Center
3-Apr-20,10:00pm,1,Cleveland Cavaliers,Phoenix Suns,1,Talking Stick Resort Arena
4-Apr-20,3:30pm,2,Oklahoma City Thunder,Los Angeles Clippers,1,Staples Center
4-Apr-20,10:00pm,2,Los Angeles Lakers,Sacramento Kings,1,Golden 1 Center
5-Apr-20,1:00pm,1,Atlanta Hawks,Charlotte Hornets,1,Spectrum Center
5-Apr-20,1:00pm,1,Orlando Magic,Philadelphia 76ers,1,Wells Fargo Center
5-Apr-20,3:30pm,1,Milwaukee Bucks,Boston Celtics,1,TD Garden
5-Apr-20,5:00pm,1,Washington Wizards,Indiana Pacers,1,Bankers Life Fieldhouse
5-Apr-20,5:00pm,1,Miami Heat,New York Knicks,1,Madison Square Garden
5-Apr-20,6:00pm,1,Dallas Mavericks,Brooklyn Nets,1,Barclays Center
5-Apr-20,6:00pm,2,Utah Jazz,Denver Nuggets,1,Pepsi Center
5-Apr-20,6:00pm,1,Chicago Bulls,Phoenix Suns,1,Talking Stick Resort Arena
5-Apr-20,7:00pm,1,Toronto Raptors,Houston Rockets,2,Toyota Center
5-Apr-20,7:00pm,1,Detroit Pistons,Minnesota Timberwolves,1,Target Center
5-Apr-20,7:00pm,3,New Orleans Pelicans,San Antonio Spurs,1,AT&T Center
5-Apr-20,9:00pm,1,Memphis Grizzlies,Portland Trail Blazers,2,Moda Center
5-Apr-20,9:00pm,1,Cleveland Cavaliers,Sacramento Kings,0,Golden 1 Center
5-Apr-20,9:30pm,0,Oklahoma City Thunder,Los Angeles Lakers,0,Staples Center
7-Apr-20,7:00pm,1,Toronto Raptors,Washington Wizards,1,Capital One Arena
7-Apr-20,7:30pm,1,Detroit Pistons,Atlanta Hawks,1,State Farm Arena
7-Apr-20,7:30pm,1,Indiana Pacers,Miami Heat,1,American Airlines Arena
7-Apr-20,7:30pm,1,Milwaukee Bucks,Philadelphia 76ers,1,Wells Fargo Center
7-Apr-20,8:00pm,1,Phoenix Suns,Minnesota Timberwolves,1,Target Center
7-Apr-20,8:00pm,1,Charlotte Hornets,New Orleans Pelicans,1,Smoothie King Center
7-Apr-20,8:00pm,1,Brooklyn Nets,Oklahoma City Thunder,1,Chesapeake Energy Arena
7-Apr-20,8:30pm,1,Houston Rockets,Dallas Mavericks,1,American Airlines Center
7-Apr-20,8:30pm,1,Sacramento Kings,San Antonio Spurs,1,AT&T Center
7-Apr-20,9:00pm,1,Memphis Grizzlies,Denver Nuggets,1,Pepsi Center
7-Apr-20,10:00pm,1,Cleveland Cavaliers,Portland Trail Blazers,1,Moda Center
7-Apr-20,10:00pm,2,Los Angeles Clippers,Utah Jazz,1,Vivint Smart Home Arena
7-Apr-20,10:30pm,1,Chicago Bulls,Los Angeles Lakers,1,Staples Center
8-Apr-20,7:00pm,0,Indiana Pacers,Boston Celtics,2,TD Garden
8-Apr-20,7:00pm,0,Toronto Raptors,Charlotte Hornets,0,Spectrum Center
8-Apr-20,7:30pm,2,Orlando Magic,New York Knicks,2,Madison Square Garden
8-Apr-20,9:30pm,0,San Antonio Spurs,Houston Rockets,0,Toyota Center
8-Apr-20,10:30pm,0,Cleveland Cavaliers,Golden State Warriors,4,Chase Center
8-Apr-20,10:30pm,0,Chicago Bulls,Los Angeles Clippers,0,Staples Center
9-Apr-20,7:30pm,1,Detroit Pistons,Miami Heat,1,American Airlines Arena
9-Apr-20,8:00pm,1,Brooklyn Nets,Milwaukee Bucks,1,Fiserv Forum
9-Apr-20,8:00pm,1,Sacramento Kings,Minnesota Timberwolves,1,Target Center
9-Apr-20,8:00pm,1,Phoenix Suns,New Orleans Pelicans,1,Smoothie King Center
9-Apr-20,10:00pm,1,Denver Nuggets,Portland Trail Blazers,1,Moda Center
9-Apr-20,10:30pm,0,Golden State Warriors,Los Angeles Lakers,1,Staples Center
10-Apr-20,7:00pm,1,Boston Celtics,Orlando Magic,1,Amway Center
10-Apr-20,7:30pm,2,Atlanta Hawks,Toronto Raptors,1,Scotiabank Arena
10-Apr-20,8:00pm,2,Washington Wizards,Houston Rockets,1,Toyota Center
10-Apr-20,8:00pm,1,New York Knicks,Oklahoma City Thunder,2,Chesapeake Energy Arena
10-Apr-20,8:30pm,2,Philadelphia 76ers,San Antonio Spurs,1,AT&T Center
11-Apr-20,3:00pm,1,Detroit Pistons,Dallas Mavericks,3,American Airlines Center
11-Apr-20,7:00pm,0,Washington Wizards,Charlotte Hornets,2,Spectrum Center
11-Apr-20,7:00pm,0,Orlando Magic,Indiana Pacers,2,Bankers Life Fieldhouse
11-Apr-20,7:00pm,0,Philadelphia 76ers,New Orleans Pelicans,1,Smoothie King Center
11-Apr-20,7:30pm,1,Milwaukee Bucks,Cleveland Cavaliers,2,Rocket Mortgage FieldHouse
11-Apr-20,8:00pm,1,Brooklyn Nets,Chicago Bulls,2,United Center
11-Apr-20,8:00pm,0,Oklahoma City Thunder,Memphis Grizzlies,3,FedExForum
11-Apr-20,8:00pm,0,Boston Celtics,Miami Heat,1,American Airlines Arena
11-Apr-20,8:30pm,1,Golden State Warriors,Los Angeles Clippers,2,Staples Center
11-Apr-20,9:00pm,1,Sacramento Kings,Denver Nuggets,1,Pepsi Center
11-Apr-20,10:00pm,3,Utah Jazz,Phoenix Suns,1,Talking Stick Resort Arena
12-Apr-20,3:30pm,1,Houston Rockets,San Antonio Spurs,1,AT&T Center
12-Apr-20,6:00pm,1,New York Knicks,Toronto Raptors,1,Scotiabank Arena
12-Apr-20,7:00pm,1,Atlanta Hawks,Milwaukee Bucks,0,Fiserv Forum
12-Apr-20,9:30pm,2,Minnesota Timberwolves,Los Angeles Lakers,2,Staples Center
13-Apr-20,7:00pm,1,Miami Heat,Charlotte Hornets,1,Spectrum Center
13-Apr-20,7:00pm,1,Brooklyn Nets,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
13-Apr-20,7:00pm,1,Boston Celtics,Detroit Pistons,1,Little Caesars Arena
13-Apr-20,7:00pm,0,San Antonio Spurs,Indiana Pacers,1,Bankers Life Fieldhouse
13-Apr-20,8:00pm,1,Orlando Magic,Chicago Bulls,1,United Center
13-Apr-20,8:00pm,1,Phoenix Suns,Houston Rockets,0,Toyota Center
13-Apr-20,8:00pm,1,Philadelphia 76ers,Memphis Grizzlies,1,FedExForum
13-Apr-20,8:00pm,1,Washington Wizards,New Orleans Pelicans,1,Smoothie King Center
13-Apr-20,8:00pm,1,Utah Jazz,Oklahoma City Thunder,1,Chesapeake Energy Arena
13-Apr-20,9:00pm,1,Dallas Mavericks,Denver Nuggets,1,Pepsi Center
13-Apr-20,10:30pm,3,Portland Trail Blazers,Golden State Warriors,1,Chase Center
13-Apr-20,10:30pm,0,Minnesota Timberwolves,Los Angeles Clippers,1,Staples Center
14-Apr-20,7:30pm,1,Toronto Raptors,Miami Heat,0,American Airlines Arena
14-Apr-20,7:30pm,0,Detroit Pistons,New York Knicks,1,Madison Square Garden
14-Apr-20,10:00pm,0,Denver Nuggets,Utah Jazz,0,Vivint Smart Home Arena
14-Apr-20,10:30pm,2,Sacramento Kings,Los Angeles Lakers,1,Staples Center
15-Apr-20,7:30pm,1,Cleveland Cavaliers,Atlanta Hawks,2,State Farm Arena
15-Apr-20,7:30pm,1,Chicago Bulls,Boston Celtics,1,TD Garden
15-Apr-20,7:30pm,2,Milwaukee Bucks,Brooklyn Nets,1,Barclays Center
15-Apr-20,7:30pm,1,Oklahoma City Thunder,Dallas Mavericks,1,American Airlines Center
15-Apr-20,7:30pm,1,Memphis Grizzlies,Houston Rockets,1,Toyota Center
15-Apr-20,7:30pm,0,New York Knicks,Minnesota Timberwolves,1,Target Center
15-Apr-20,7:30pm,0,Toronto Raptors,Orlando Magic,1,Amway Center
15-Apr-20,7:30pm,1,Charlotte Hornets,Philadelphia 76ers,1,Wells Fargo Center
15-Apr-20,7:30pm,1,New Orleans Pelicans,San Antonio Spurs,1,AT&T Center
15-Apr-20,7:30pm,1,Indiana Pacers,Washington Wizards,1,Capital One Arena
15-Apr-20,10:00pm,0,Los Angeles Lakers,Phoenix Suns,1,Talking Stick Resort Arena
15-Apr-20,10:00pm,1,Los Angeles Clippers,Portland Trail Blazers,1,Moda Center
15-Apr-20,10:00pm,1,Golden State Warriors,Sacramento Kings,0,Golden 1 Center
